GENERO,PAÍS DE PROCEDENCIA,DEPARTAMENTO,RANGO EDAD,MOTIVO VIAJE,NOCHES,TIPO ALOJAMIENTO,GASTO TURISTICO GENERADO,MEDIO,AÑO
MASCULINO,COLOMBIA,CESAR,39-50,"ASISTIR O DICTAR CONFERENCIA, PONENTE EN CONGRESO, FERIA COMERCIAL O EXPOSICIÓN",7,HOTEL,"2,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,CUNDINAMARCA,15-26,VISITAR A FAMILIARES Y/O AMIGOS,1,HOTEL,"1,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,RISARALDA,15-26,"VACACIONES, RECREO Y OCIO",2,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,ECUADOR,QUITO,27-38,"VACACIONES, RECREO Y OCIO",4,HOTEL,"5,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,27-38,"SALUD, BIENESTAR Y ATENCIÓN MÉDICA (INCLUYE LA CIRUGÍA ESTÉTICA)",6,HOSTAL / ALBERGUE / REFUGIO / POSADA TURÍSTICA,"1,200,000",YA LOS CONOCÍA,"2,021"
MASCULINO,COLOMBIA,ATLANTICO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,200,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,27-38,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,NARIÑO,39-50,VISITAR A FAMILIARES Y/O AMIGOS,2,HOTEL,"1,000,000",YA LOS CONOCÍA,"2,021"
FEMENINO,COLOMBIA,VALLEDUPAR,39-50,VISITAR A FAMILIARES Y/O AMIGOS,10,CASA FAMILIARES / AMIGOS,"2,500,000",AMIGOS Y/O FAMILIARES.,"2,021"
FEMENINO,COLOMBIA,HUILA,27-38,"VACACIONES, RECREO Y OCIO",2,HOTEL,"2,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,HUILA,27-38,"VACACIONES, RECREO Y OCIO",2,HOTEL,"1,200,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,COLOMBIA,HUILA,27-38,TURISMO ESPIRITUAL: ACTIVIDADES RELIGIOSAS Y ESPIRITUALES,2,HOTEL,"800,000",AGENCIAS DE VIAJE,"2,021"
FEMENINO,COLOMBIA,CALDAS,15-26,"VACACIONES, RECREO Y OCIO",2,HOTEL,"1,200,000",AMIGOS Y/O FAMILIARES.,"2,021"
MASCULINO,ARGENTINA,SIN INFORMACION,27-38,VISITAR A FAMILIARES Y/O AMIGOS,10,HOTEL,"6,000,000",AMIGOS Y/O FAMILIARES.,"2,021"
